bug_id,"bug_severity","priority","product","version","op_sys","assigned_to","bug_status","resolution","short_desc"
113713,"critical","P1","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CGX 3.1 - vim: Failed to build with CVE-2021-3872 fetch error"
114003,"critical","P1","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CGX 3.1 0001-CVE-2021-41773.patch failed to apply during apache build"
117402,"critical","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2015-20107 - python(mailcap): findmatch() does not sanitize the second argument"
113047,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2016-20012 - openssh: Improper decode of suspicion in server can lead to access"
116862,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2018-25032 - zlib: A flaw in zlib-1.2.11 when compressing (not decompressing!) certain inputs"
115161,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2019-8321 - rubygems: Escape sequence injection vulnerability in verbose"
115170,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2019-8322 - rubygems: Escape sequence injection vulnerability in gem owner"
115179,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2019-8323 - rubygems: Escape sequence injection vulnerability in API response handling"
115188,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2019-8324 - rubygems: Installing a malicious gem may lead to arbitrary code execution"
115197,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2019-8325 - rubygems: Escape sequence injection vulnerability in errors"
113977,"normal","P3","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2019-8921 - bluez: Information leak in service_attr_req() in sdpd-request.c via a crafted CSTATE"
118446,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2020-12321 - hardware: Buffer overflow in bluetooth firmware"
105384,"normal","P3","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","INVALID","CVE-2020-24240 - bison: Use-after-free via crafted input file containing a NULL byte can lead to Denial of Service (DoS)"
107558,"normal","P3","CGX 3.1","unspecified","---","hprajapati@mvista.com","ASSIGNED",,"CVE-2020-27821 QEMU: heap buffer overflow in msix_table_mmio_write() in hw/pci/msix.c"
109944,"serious","P2","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2020-27827 - lldp/openvswitch: Denial of service via externally triggered memory leak"
116749,"normal","P3","CGX 3.1","unspecified","---","hprajapati@mvista.com","CLOSED","FIXED","CVE-2021-25220 - bind: Rules for acceptance of records into the cache have been tightened to prevent possibility of poisoning if forwarders send records outside configured bailiwick"
