bug_id,"bug_severity","priority","product","version","op_sys","assigned_to","bug_status","resolution","short_desc"
114342,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4019 vim: heap-based buffer overflow in find_help_tags() in help.c"
114353,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4069 vim: use-after-free in ex_open() in src/ex_docmd.c"
114540,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4136 vim: heap-based buffer overflow in eval_lambda() in src/eval.c"
114551,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4166 vim: out-of-bounds read in do_arg_all() in src/arglist.c"
114562,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4173 vim: use-after-free with nested :def function"
114655,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4187 vim: use-after-free vulnerability"
114573,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4192 vim: Please update the description"
114584,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2021-4193 vim: Please update the description"
114152,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0128 vim: Out-of-bounds read"
114830,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0213 vim: vim is vulnerable to out of bounds read"
114958,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0261 vim: Heap-based Buffer Overflow in block_insert() in src/ops.c"
115038,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0318 vim: heap-based buffer overflow in utf_head_off() in mbyte.c"
115049,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0319 vim: Out-of-bounds Read ."
115060,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0351 vim: condition with many ""("" causes a crash."
115575,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0361 vim: Heap-based Buffer Overflow in GitHub repository"
115586,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0368 vim: Out-of-bounds Read in vim"
115597,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0392 vim: heap-based buffer overflow in getexmodeline() in ex_getln.c"
115619,"serious","Backlog","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0407 vim: heap-based buffer overflow on read in yank_copy_line"
115630,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0408 vim: Stack-based Buffer Overflow in spellsuggest.c"
115641,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0413 vim: use after free in src/ex_cmds.c"
115652,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0417 vim: heap-based-buffer-overflow in ex_retab() of src/indent.c"
115663,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0443 vim: heap-use-after-free in enter_buffer() of src/buffer.c"
116272,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0714 vim: buffer overflow"
116283,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-0729 vim: Use of Out-of-range Pointer Offset"
117539,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1420 vim: Out-of-range Pointer Offset"
118007,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1616 vim: heap-buffer-overflow in append_command of src/ex_docmd.c"
117891,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1619 vim: heap-buffer-overflow in cmdline_erase_chars of ex_getln.c"
117904,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1620 vim: NULL Pointer Dereference in vim_regexec_string() of regexp.c"
117917,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1621 vim: heap buffer overflow"
117930,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1629 vim: buffer over-read"
118043,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1674 vim: NULL pointer dereference in vim_regexec_string() of regexp.c"
118249,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1886 vim: Buffer overflow in src/register.c"
118602,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1897 vim: out-of-bounds write in vim_regsub_both() in regexp.c"
118616,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1898 vim: use-after-free in find_pattern_in_path() in search.c"
118630,"critical","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1927 vim: buffer over-read in utf_ptr2char() in mbyte.c"
118648,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1942 vim: out of bounds write in vim_regsub_both()"
118681,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-1968 vim: use-after-free in function utf_ptr2char at mbyte.c:1794"
119002,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2000 vim: out-of-bounds write in function append_command"
118863,"normal","P3","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2042 vim: use after free in skipwhite may lead to crash"
119073,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2124 vim: out of bounds read in current_quote()"
119087,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2125 vim: out of bounds read in get_lisp_indent()"
119101,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2126 vim: out of bounds read in suggest_trie_walk()"
119115,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2129 vim: out of bounds write in vim_regsub_both()"
119179,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2175 vim: buffer over-read in put_on_cmdline() at ex_getln.c"
119193,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2182 vim: heap-based buffer overflow through parse_cmd_address() in function utf_ptr2char"
119207,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2183 vim: out-of-bounds read through get_lisp_indent() in function get_lisp_indent"
119254,"serious","P2","CentOS","8.3 Standard","---","secbugz@mvista.com","NEW",,"CVE-2022-2206 vim: out-of-bound read in function msg_outtrans_attr"
