bug_id,"bug_severity","priority","product","version","component","status_whiteboard","keywords","op_sys","assigned_to","bug_status","resolution","short_desc"
119966,"normal","P3","CentOS","7.9 Nokia","Kernel","centos_sync","security","---","secbugz@mvista.com","ASSIGNED",,"CVE-2022-23816 CVE-2022-29900 hw: cpu: AMD: RetBleed Arbitrary Speculative Code Execution with Return Instructions"
112929,"normal","P3","CentOS","7.9 Standard","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-26143 kernel: accepting fragmented plaintext frames in protected networks"
112930,"normal","P3","CentOS","7.9 Standard","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-26143 kernel: accepting fragmented plaintext frames in protected networks"
112931,"normal","P3","CentOS","7.9 Standard","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-26143 kernel: accepting fragmented plaintext frames in protected networks"
113462,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-20321 kernel: In Overlayfs missing a check for a negative dentry before calling vfs_rename()"
113810,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-3772 kernel: sctp: Invalid chunks may be used to remotely remove existing associations"
114007,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-43975 kernel: out-of-bounds write in hw_atl_utils_fw_rpc_wait() in drivers/net/ethernet/aquantia/atlantic/hw_atl/hw_atl_utils.c"
114141,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-43976 kernel: mwifiex_usb_recv() in drivers/net/wireless/marvell/mwifiex/usb.c allows an attacker to cause DoS via crafted USB device"
114212,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-28714,CVE-2021-28715: kernel: Guest can force Linux netback driver to hog large amounts of kernel memory"
114393,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-45486 kernel: information leak in the IPv4 implementation"
116123,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-0617 kernel: Null pointer dereference can be triggered when write to an ICB inode"
116574,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-27223 kernel: In drivers/usb/gadget/udc/udc-xilinx.c the endpoint index is not validated"
116586,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-26966 kernel: heap memory leak in drivers/net/usb/sr9700.c"
116643,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-45868 kernel: fs/quota/quota_tree.c does not validate the block number in the quota tree"
116787,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-4149 kernel: Improper lock operation in btrfs"
116885,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-35501 kernel: audit not logging access to syscall open_by_handle_at for users with CAP_DAC_READ_SEARCH capability"
116954,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-0494 kernel: information leak in  scsi_ioctl()"
117260,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1016 kernel: uninitialized registers on stack in nft_do_chain can cause kernel pointer leakage to UM"
117296,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1353 Kernel: A kernel-info-leak issue in pfkey_register"
117417,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1280 kernel: concurrency use-after-free between drm_setmaster_ioctl and drm_mode_getresources"
118150,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1836 kernel: Concurrency use-after-free in floppy's raw_cmd"
118848,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-32296 kernel: insufficient TCP source port randomness leads to client identification"
119047,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-21499 kernel: possible to use the debugger to write zero into a location of choice"
119145,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-33981 kernel: use-after-free in floppy driver may lead to a DoS"
119160,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1184 kernel: use-after-free and memory errors in ext4 when mounting and operating on a corrupted image"
119747,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2318 Kernel: A use-after-free vulnerabilities caused by timer handler in net/rose/rose_timer.c"
120064,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-33744 kernel: Arm guests can  cause Dom0 DoS via PV devices"
120137,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-33656 kernel: when setting font with malicious data by ioctl PIO_FONT, kernel will write memory out of bounds"
120169,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-33655 kernel: sending malicous data to kernel by ioctl FBIOPUT_VSCREENINFO may cause out of bounds write memory"
120196,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-36557 kernel: Use-after free in VT_DISALLOCATE ioctl and closing/opening"
120327,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-36879 linux_kernel: possible double xfrm_pols_put() in xfrm_bundle_lookup()"
120744,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2588 kernel: a use-after-free in cls_route filter implementation may lead to privilege escalation"
120821,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-3659 kernel: NULL pointer dereference in llsec_key_alloc() in net/mac802154/llsec.c"
120836,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-3764 kernel: DoS in ccp_run_aes_gcm_cmd() function"
120851,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2503 linux_kernel: Please update the description"
121132,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-3759 kernel: unaccounted ipc objects in Linux kernel lead to breaking memcg limits and DoS attacks"
121407,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2991 kernel: heap-based overflow in LightNVM Subsystem may lead to privilege escalation"
121461,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2020-27784 kernel: deallocated instance in printer_ioctl() printer_ioctl() tries to access lock_printer_io of the printer_dev instance"
121565,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-0480 kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion"
121618,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2153 kernel: KVM: NULL pointer dereference in kvm_irq_delivery_to_apic_fast()"
121633,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2905 kernel: slab-out-of-bound read in bpf"
121648,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3028 kernel: race condition in xfrm_probe_algs can lead to out-of-bounds read/write"
121663,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-39190 kernel:  A PoS in net/netfilter/nf_tables_api.c."
121678,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-40307 kernel: use-after-free in efi_capsule_write in capsule-loader.c"
121781,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1263 kernel: KVM: NULL pointer dereference in kvm_dirty_ring_push in virt/kvm/dirty_ring.c"
121811,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-1508 kernel: out-of-bounds read in iov_iter_revert() in lib/iov_iter.c"
121901,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-2663 kernel/netfilter: nf_conntrack_irc message handling issue"
121962,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3061 kernel: fbdev: i740fb: divide-by-zero in drivers/video/fbdev/i740fb.c could lead to DoS"
122148,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-39188 linux_kernel: Race in include/asm-generic/tlb.h"
122398,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-40768 kernel: leak of sensitive information due to uninitialized data in stex_queuecommand_lck() in drivers/scsi/stex.c"
122413,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-41222 kernel: page UAF via stale TLB caused by rmap lock not held during PUD move"
122443,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-41218 kernel:  a use-after-free caused by refcount races,"
122682,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3303 kernel: race condition in snd_pcm_oss_sync leads to NULL pointer dereference"
122747,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-41848 kernel: Race condition in drivers/char/pcmcia/synclink_cs.c"
122762,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-41849 kernel: Race condition in drivers/video/fbdev/smscufx.c"
122777,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-41850 kernel: Race condition in  drivers/hid/hid-roccat.c"
123092,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3521 linux_kernel: A race condition in net/kcm/kcmsock.c"
123122,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3523 linux_kernel: Use-after-free in mm/memory.c"
123300,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3542 linux_kernel: Memory leak drivers/net/ethernet/broadcom/bnx2x/bnx2x_cmn.c"
123424,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3586 kernel: net scheduler use-after-free information disclosure vulnerability"
123573,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3621 kernel: Null pointer derference in fs/nilfs2/inode.c"
123588,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3646 kernel: Memory leak in s/nilfs2/segment.c."
123695,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-43750 kernel: internal memory corruption in drivers/usb/mon/mon_bin.c"
123773,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3344 kernel: KVM: SVM: nested shutdown interception could lead to host crash"
123779,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3629 linux_kernel: There is a memory leak in net/vmw_vsock/af_vsock.c"
123850,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-44034 linux_kernel: Race condition in drivers/char/pcmcia/scr24x_cs.c"
123927,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-42896 kernel: use-after-free in l2cap_connect and l2cap_le_connect_req in net/bluetooth/l2cap_core.c"
123981,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3903 kernel: An invalid pipe direction in the mceusb driver cause the kernel to DOS"
124131,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-4269 kernel: net: CPU soft lockup in TC mirred egress-to-ingress action"
124324,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3115 Kernel: Unchecked kzalloc return leads to null pointer dereference."
124491,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-4095 kernel: Use-after-Free/Double-Free bug in read_bbreg_hdl in drivers/staging/rtl8712/rtl8712_cmd.c"
124497,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-4095 kernel: Use-after-Free/Double-Free bug in read_bbreg_hdl in drivers/staging/rtl8712/rtl8712_cmd.c"
124583,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-23454 linux_kernel: slab out of bounds in  net/sched/sch_cbq.c"
124594,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3628 kernel: a USB-accessible buffer overflow in brcmfmac"
124632,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-47929 linux_kernel: pointer defererence in net/sched/sch_api.c."
124742,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-0394 Kernel: Null pointer deference in rawv6_push_pending_frames"
124748,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-23455 Kernel: denial of service in atm_tc_enqueue in net/sched/sch_atm.c due to type confusion"
124755,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-4129 kernel: l2tp: missing lock when clearing sk_user_data can lead to NULL pointer"
124915,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-0615 kernel: multiple issues for the Video for Linux version 2 test driver"
125009,"normal","P3","CentOS","7.9 Mavenir","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2021-26401 hw: cpu: LFENCE/JMP Mitigation Update for CVE-2017-5715"
125054,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2022-3707 kernel: Double-free in split_2MB_gtt_entry when function intel_gvt_dma_map_guest_page failed"
125099,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-22998 kernel: null pointer in  drivers/gpu/drm/virtio/virtgpu_object.c"
125331,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-0597 kernel: x86/mm: Randomize per-cpu entry area"
125337,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1095 kernel: netfilter: NULL pointer dereference in nf_tables due to zeroed list head"
125669,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-0590 Kernel: use-after-free due to race condition in qdisc_graft()"
125682,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1073 kernel: HID: check empty report_list in hid_validate_values()"
125700,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1074 kernel: sctp: fail if no bound addresses can be used for a given scope"
125745,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1076 kernel: tap: tap_open(): correctly initialize socket uid"
125825,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1582 Kernel: Soft lockup occurred during __page_mapcount"
125831,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1583 kernel: NULL pointer dereference in io_file_bitmap_get in io_uring/filetable.c"
125837,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1611 Kernel: race between quota disable and quota assign ioctls in fs/btrfs/ioctl.c"
125843,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1637 kernel: save/restore speculative MSRs during S3 suspend/resume"
125876,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1855 kernel: use-after-free bug in remove function xgene_hwmon_remove"
126061,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-2194 kernel: i2c: out-of-bounds write in xgene_slimpro_i2c_xfer()"
126068,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-2162 Kernel: UAF during login when accessing the shost ipaddress"
126086,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-28328 Kernel: A denial of service issue in  az6027 driver in drivers/media/usb/dev-usb/az6027.c"
126114,"normal","P3","CentOS","7.9 Nokia","Kernel",,"security","---","secbugz@mvista.com","NEW",,"CVE-2023-1998 kernel: Spectre v2 SMT mitigations problem"
