bug_id,"product","component","version","bug_severity","priority","op_sys","status_whiteboard","keywords","assigned_to","bug_status","resolution","short_desc"
128454,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19185 ncurses: Heap buffer overflow in one_one_mapping function in progs/dump_entry.c:1373"
128460,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19186 ncurses: Buffer overflow in _nc_find_entry function in tinfo/comp_hash.c:66"
128467,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19187 ncurses: Heap buffer overflow in fmt_entry function in progs/dump_entry.c:1100"
128609,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19188 ncurses: Stack buffer overflow in fmt_entry function in progs/dump_entry.c:1116"
128705,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19189 ncurses: Heap buffer overflow in postprocess_terminfo function in tinfo/parse_entry.c:997"
128711,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2020-19190 ncurses: Heap buffer overflow in _nc_find_entry in tinfo/comp_hash.c:70"
128562,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2021-3236 vim: NULL pointer dereference in ex_buffer_all method"
116494,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2021-3981 grub2: Incorrect permission in grub.cfg allow unprivileged user to read the file content"
128778,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-38023 samba: RC4/HMAC-MD5 NetLogon Secure Channel is weak and should be avoided"
128784,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-47011 binutils: memory leak in parse_stab_struct_fields() in stabs.c"
128788,"CentOS","Userland","7.9 Standard","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-47673 binutils: out-of-bounds read in parse_module() in bfd/vms-alpha.c via addr2line"
128792,"CentOS","Userland","7.9 Standard","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-47695 binutils: uninitialized field in bfd_mach_o_get_synthetic_symtab() in match-o.c"
128797,"CentOS","Userland","7.9 Standard","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-47696 binutils: segmentation fault in compare_symbols() in objdump.c"
128801,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-48063 binutils: excessive memory consumption in load_separate_debug_files() in dwarf.c"
128806,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-48064 binutils: excessive memory consumption in _bfd_dwarf2_find_nearest_line_with_alt() in dwarf2.c"
128810,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2022-48065 binutils: memory leak in find_abstract_instance() in dwarf2.c"
126149,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-0458 kernel: speculative pointer dereference in do_prlimit() in kernel/sys.c"
129675,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-1476 kpatch: mm/mremap.c: incomplete fix for CVE-2022-41222"
126668,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-2002 Kernel: bluetooth: Unauthorized management command execution"
126068,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-2162 Kernel: UAF during login when accessing the shost ipaddress"
126219,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-2248 CVE-2023-31436 kernel: out-of-bounds write in qfq_change_class function"
126280,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-2513 kernel: ext4: use-after-free in ext4_xattr_set_entry()"
128818,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-25586 binutils: Local variable `ch_type` in function `bfd_init_section_decompress_status` can be uninitialized"
128822,"CentOS","Userland","7.9 Standard","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-25588 binutils: Field `the_bfd` of `asymbol` is uninitialized in function `bfd_mach_o_get_synthetic_symtab`"
125601,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-27534 curl: SFTP path ~ resolving discrepancy"
126086,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-28328 Kernel: A denial of service issue in  az6027 driver in drivers/media/usb/dev-usb/az6027.c"
128724,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-29499 glib: GVariant offset table entry size is not checked in is_normal()"
126970,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3141 kernel: Use after free bug in r592_remove"
126981,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3159 kernel: use after free issue in driver/firewire in outbound_phy_packet_callback"
126988,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3161 kernel: fbcon: shift-out-of-bounds in fbcon_set_font()"
126934,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3212 kernel: gfs2: NULL pointer dereference in gfs2_evict_inode()"
128739,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-32636 glib: Timeout in fuzz_variant_text"
128734,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-32643 glib: Heap-buffer-overflow in g_variant_serialised_get_child"
128833,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-32665 glib: GVariant deserialisation does not match spec for non-normal data"
126942,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3268 kernel:  out-of-bounds access in relay_file_read"
127534,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-35001 kernel: nf_tables: stack-out-of-bounds-read in nft_byteorder_eval()"
127994,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3567 kernel: use after free in vcs_read in drivers/tty/vt/vc_screen.c due to race"
127000,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-35824 kernel: dm1105: race condition leading to use-after-free in dm1105_remove.c()"
128107,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3609 kernel: net/sched: cls_u32 component reference counter leak if tcf_change_indev() fails"
127652,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3611 kernel: net/sched: sch_qfq component can be exploited if in qfq_change_agg function happens qfq_enqueue overhead"
127816,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3772 kernel: xfrm: NULL pointer dereference in xfrm_update_ae_params()"
127658,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-3776 kernel: net/sched: cls_fw component can be exploited as result of failure in tcf_change_indev function"
129527,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-38470 avahi: Reachable assertion in avahi_escape_label"
129522,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-38471 avahi: Reachable assertion in dbus_set_host_name"
129532,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-38472 avahi: Reachable assertion in avahi_rdata_parse"
129537,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-38473 avahi: Reachable assertion in avahi_alternative_host_name"
129274,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-39189 kernel: netfilter: nftables out-of-bounds read in nf_osf_match_one()"
129281,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-39192 kernel: netfilter: xtables out-of-bounds read in u32_match_it()"
129288,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-39193 kernel: netfilter: xtables sctp out-of-bounds read in match_flags()"
129065,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-40283 kernel: use-after-free in l2cap_sock_release in net/bluetooth/l2cap_sock.c"
129723,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4091 samba: SMB clients can truncate files with read-only permissions"
129072,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4128 kernel: net/sched: Use-after-free vulnerabilities in the net/sched classifiers: cls_fw, cls_u32 and cls_route"
129079,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4132 kernel: smsusb: use-after-free caused by do_submit_urb()"
129086,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4133 kernel: cxgb4: use-after-free in ch_flower_stats_cb()"
128085,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4208 kernel: net/sched: cls_u32 UAF"
129115,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4244 kernel: Use-after-free in nft_verdict_dump due to a race between set GC and transaction"
129735,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-42669 samba: ""rpcecho"" development server allows denial of service via sleep() call on AD DC"
129433,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-42752 kernel: integer overflow in igmpv3_newpack leading to exploitable memory access"
129130,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-42753 kernel: netfilter: potential slab-out-of-bound access due to integer underflow"
129390,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-42754 kernel: ipv4: NULL pointer dereference in ipv4_send_dest_unreach()"
129426,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-42755 kernel: rsvp: out-of-bounds read in rsvp_classify()"
128091,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4387 kernel: vmxnet3: use-after-free in vmxnet3_rq_alloc_rx_buf()"
129172,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"security","secbugz@mvista.com","NEW",,"CVE-2023-4459 kernel: vmxnet3: NULL pointer dereference in vmxnet3_rq_cleanup()"
