bug_id,"bug_severity","priority","op_sys","product","component","version","assigned_to","bug_status","resolution","short_desc"
116111,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-25265 kernel: Executable Space Protection Bypass"
116329,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2020-36516 kernel: an off-path attacker may inject data or terminate a victim's TCP session"
116349,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-3640 kernel: use-after-free vulnerability in function sco_sock_sendmsg()"
121030,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-3669 kernel: reading /proc/sysvipc/shm does not scale with large shared memory segment counts"
121117,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2021-3714 kernel: Remote Page Deduplication Attacks"
122034,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-3169 Kernel: Request to NVME_IOCTL_RESET and NVME_IOCTL_SUBSYS_RESET  may cause a DOS."
122923,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-36280 kernel: vmxgfx: out-of-bounds write in vmw_kms_cursor_snoop"
124059,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-45884 kernel: use-after-free due to race condition occurring in dvb_register_device()"
124065,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-45885 kernel: use-after-free due to race condition occurring in dvb_frontend.c"
124071,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-45886 kernel: use-after-free due to race condition occurring in dvb_net.c"
124083,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-45887 kernel: memory leak in ttusb_dec_exit_dvb() in media/usb/ttusb-dec/ttusb_dec.c"
124089,"serious","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2022-45919 linux_kernel: use after free in drivers/media/dvb-core/dvb_ca_en50221.c."
126068,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-2162 Kernel: UAF during login when accessing the shost ipaddress"
126149,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-0458 kernel: speculative pointer dereference in do_prlimit() in kernel/sys.c"
126219,"serious","P2","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-2248 CVE-2023-31436 kernel: out-of-bounds write in qfq_change_class function"
126234,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-2269 kernel:  A possible deadlock in dm_get_inactive_table in dm- ioctl.c leads to dos"
126246,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-31082 linux_kernel: Possible Dos in drivers/tty/n_gsm.c"
126252,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-31083 linux_kernel: null pointer in drivers/bluetooth/hci_ldisc.c"
126264,"normal","Backlog","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-31085 linux_kernel: divide by zero in drivers/mtd/ubi/cdev.c"
126280,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-2513 kernel: ext4: use-after-free in ext4_xattr_set_entry()"
126934,"normal","P3","---","CentOS","Kernel","7.9 Nokia","secbugz@mvista.com","NEW",,"CVE-2023-3212 kernel: gfs2: NULL pointer dereference in gfs2_evict_inode()"
