bug_id,"product","component","version","bug_severity","priority","op_sys","status_whiteboard","assigned_to","bug_status","resolution","short_desc"
129789,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2020-0066  kernel: race condition in netlink driver."
130396,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2020-0404 kernel: avoid cyclic entity chains due to malformed USB descriptors"
130880,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2021-33630 kernel: NULL Pointer Dereference vulnerability in net/sched/sch_cbs.C."
130887,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2021-33631 linux: Integer Overflow ext4_write_inline_data_end"
129942,"CentOS","Userland","7.6 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2021-34552 python-pillow: Buffer overflow in image convert function"
129943,"CentOS","Userland","7.5 Nokia","critical","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2021-34552 python-pillow: Buffer overflow in image convert function"
116494,"CentOS","Userland","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2021-3981 grub2: Incorrect permission in grub.cfg allow unprivileged user to read the file content"
130451,"CentOS","Userland","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2022-2343 vim: heap-based buffer overflow in ins_compl_add() in insexpand.c"
130255,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2022-4662 kernel: Recursive locking violation in usb-storage that can cause the kernel to deadlock"
128784,"CentOS","Userland","7.9 Standard","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2022-47011 binutils: memory leak in parse_stab_struct_fields() in stabs.c"
130775,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2022-48619 kernel: event code falling outside of a bitmap in input_set_capability() leads to panic"
126149,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-0458 kernel: speculative pointer dereference in do_prlimit() in kernel/sys.c"
129675,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-1476 kpatch: mm/mremap.c: incomplete fix for CVE-2022-41222"
126668,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-2002 Kernel: bluetooth: Unauthorized management command execution"
126068,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-2162 Kernel: UAF during login when accessing the shost ipaddress"
126219,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-2248 CVE-2023-31436 kernel: out-of-bounds write in qfq_change_class function"
126280,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-2513 kernel: ext4: use-after-free in ext4_xattr_set_entry()"
126086,"CentOS","Kernel","7.9 Nokia","normal","P3","---",,"secbugz@mvista.com","NEW",,"CVE-2023-28328 Kernel: A denial of service issue in  az6027 driver in drivers/media/usb/dev-usb/az6027.c"
126970,"CentOS","Kernel","7.9 Nokia","serious","P2","---",,"secbugz@mvista.com","NEW",,"CVE-2023-3141 kernel: Use after free bug in r592_remove"
